Material_ID,Formula,Band_Gap,Energy_per_Atom,Formation_Energy_per_Atom
mp-32667,SiO2,5.3845,-8.13303279,-3.025952776666666
mp-556882,SiO2,5.6423,-8.369107194791667,-3.262027181458334
mp-556654,SiO2,5.606999999999999,-8.367856784999999,-3.260776771666666
mp-669426,SiO2,5.537999999999999,-8.372784223333333,-3.26570421
mp-985570,SiO2,5.7565,-8.371430833749999,-3.264350820416666
mp-554175,SiO2,5.8291,-8.275961186249999,-3.168881172916666
mp-554258,SiO2,5.522,-8.362277877083333,-3.25519786375
mp-554543,SiO2,5.6129,-8.35856702875,-3.251487015416666
mp-1179447,SiO2,5.6304,-8.356537974166667,-3.249457960833334
mp-1365799,SiO2,5.793,-8.175438297083334,-3.06835828375
mp-553993,SiO2,5.6424,-8.333278817083334,-3.22619880375
mp-555521,SiO2,5.586699999999999,-8.364394087083333,-3.25731407375
mp-554267,SiO2,5.6328,-8.358268924999999,-3.251188911666666
mp-555700,SiO2,5.5201,-8.362425647083333,-3.25534563375
mp-639705,SiO2,5.5245,-8.348875059000001,-3.241795045666668
mp-600016,SiO2,5.652,-8.36343456125,-3.256354547916666
mp-600078,SiO2,5.623200000000001,-8.350657451296298,-3.243577437962964
mp-555165,SiO2,5.7614,-8.356937275208333,-3.249857261875
mp-1250639,SiO2,5.6677,-8.365025204472223,-3.257945191138889
mp-558569,SiO2,5.738099999999999,-8.301297938055555,-3.194217924722222
mp-558115,SiO2,5.6668,-8.365667661,-3.258587647666667
mp-559389,SiO2,4.3826,-8.122203651111112,-3.015123637777778
mp-559550,SiO2,5.6097,-8.364031135000001,-3.256951121666668
mp-11684,SiO2,5.5458,-8.3661854875,-3.259105474166666
mp-12787,SiO2,5.6273,-8.377139171666666,-3.270059158333334
mp-558733,SiO2,5.29,-8.116219954444444,-3.009139941111111
mp-557837,SiO2,5.6449,-8.3715734,-3.264493386666667
mp-560064,SiO2,5.7215,-8.359907655312501,-3.252827641979166
mp-562490,SiO2,5.599699999999999,-8.359752326666667,-3.252672313333333
mp-651707,SiO2,5.8759000000000015,-8.368051952857144,-3.26097193952381
mp-646895,SiO2,5.6942,-8.360008631145833,-3.252928617812499
mp-7000,SiO2,5.719,-8.379911357222223,-3.27283134388889
mp-640917,SiO2,0.6553999999999991,-5.951826232222221,-0.844746218888888
mp-6930,SiO2,5.6695,-8.379285652777778,-3.272205639444445
mp-546546,SiO2,5.5604,-8.338407914999998,-3.231327901666665
mp-556963,SiO2,5.4127,-8.23030658138889,-3.123226568055556
mp-557194,SiO2,0.0,-7.117902115555555,-2.010822102222222
mp-556464,SiO2,4.035,-8.133972574722222,-3.026892561388889
mp-556044,SiO2,0.0,-6.922545317777778,-1.815465304444444
mp-17909,SiO2,5.8413,-8.358524000555557,-3.251443987222224
mp-559605,SiO2,4.0451,-8.140949648888888,-3.033869635555556
mp-561488,SiO2,2.7733,-7.867150488333332,-2.760070474999999
mp-557076,SiO2,4.0901,-8.089144607777778,-2.982064594444445
mp-557771,SiO2,2.4357,-7.764019234722222,-2.656939221388889
mp-556027,SiO2,2.9032,-7.850721024444444,-2.743641011111111
mp-556812,SiO2,5.0183,-8.084626102777777,-2.977546089444444
mp-638035,SiO2,0.0,-6.549566965555555,-1.4424869522222221
mp-530546,SiO2,5.562,-8.362686847530865,-3.255606834197531
mp-1249090,SiO2,5.7956,-8.357013506078431,-3.249933492745097
mp-555355,SiO2,1.2633,-7.581558126388889,-2.474478113055556
mp-554498,SiO2,0.5051,-7.488995209166666,-2.381915195833333
mp-555823,SiO2,1.235,-7.588772354166666,-2.481692340833333
mp-1257168,SiO2,5.5917,-8.351181326888888,-3.244101313555555
mp-554243,SiO2,5.627,-8.363005045000001,-3.255925031666667
mp-6922,SiO2,5.5311,-8.370834855000002,-3.263754841666668
mp-559273,SiO2,5.66,-8.164621721805554,-3.057541708472222
mp-10851,SiO2,5.5318000000000005,-8.37083800388889,-3.263757990555557
mp-32761,SiO,0.0,-7.2337889,-2.0471493825
mp-557723,SiO2,3.5601000000000003,-8.09929322888889,-2.992213215555555
mp-559091,SiO2,5.4377,-8.3686538825,-3.261573869166666
mp-1250261,SiO2,5.7371,-8.358506635555555,-3.251426622222222
mp-542814,SiO2,5.5504,-8.372427320833332,-3.265347307499999
mp-556961,SiO2,5.4877,-8.371195347916666,-3.264115334583334
mp-1204057,SiO2,5.6518,-8.357327900462964,-3.250247887129631
mp-532105,SiO2,5.559,-8.362559575432098,-3.255479562098765
mp-680222,SiO2,5.5951,-8.34270986798611,-3.235629854652778
mp-8602,SiO2,5.5344,-8.363599531470589,-3.256519518137255
mp-1201887,SiO2,5.5322,-8.361777525972222,-3.254697512638888
mp-557211,SiO2,5.5612,-8.361003591250002,-3.253923577916668
mp-1256614,SiO2,5.7551,-8.359193270555556,-3.252113257222223
mp-1249332,SiO2,5.689,-8.361518644814815,-3.254438631481482
mp-559740,SiO2,5.7109000000000005,-8.321312444166669,-3.214232430833335
mp-559928,SiO2,5.4895,-8.337988537222222,-3.230908523888887
mp-7087,SiO2,5.3645,-8.360704293333333,-3.25362428
mp-560836,SiO2,5.1243,-8.151395228611111,-3.044315215277778
mp-8059,SiO2,5.5887,-8.370538329583333,-3.26345831625
mp-556537,SiO2,4.7217,-8.127806996944445,-3.020726983611111
mp-1204070,SiO2,4.4735,-8.08043679425926,-2.973356780925927
mp-1249969,SiO2,5.6645,-8.3563155005,-3.249235487166667
mp-555960,SiO2,5.4799,-8.117731065208334,-3.010651051875
mp-556262,SiO2,5.974,-8.361094445208334,-3.254014431875001
mp-556469,SiO2,5.696199999999999,-8.363982900416667,-3.256902887083333
mp-683947,SiO2,5.471999999999999,-8.237653260416666,-3.130573247083333
mp-557118,SiO2,5.4995,-8.36083614,-3.253756126666667
mp-600049,SiO2,5.8275999999999994,-8.343753273541667,-3.236673260208333
mp-7648,SiO2,5.424499999999999,-8.367900570833333,-3.260820557499999
mp-558374,SiO2,5.6839,-8.3401562775,-3.233076264166667
mp-9258,SiO2,4.0091,-7.802867330833333,-2.6957873175
mp-555497,SiO2,4.444000000000001,-8.124306575694444,-3.017226562361111
mp-555740,SiO2,5.8478,-8.357606630000001,-3.250526616666667
mp-1200685,SiO2,5.6843,-8.273295178125,-3.166215164791667
mp-556454,SiO2,5.568099999999999,-8.368117294583334,-3.2610372812499993
mp-638049,SiO2,0.0,-6.6351507125,-1.528070699166666
mp-558598,SiO2,0.0,-6.561334766944444,-1.454254753611111
mp-1188220,SiO2,5.451799999999999,-8.363381341666667,-3.256301328333334
mp-600096,SiO2,6.145300000000001,-8.23547652986111,-3.128396516527777
mp-639478,SiO2,5.5639,-8.355252137499999,-3.248172124166666
mp-557591,SiO2,5.7214,-8.308511685972222,-3.201431672638889
mp-557024,SiO2,5.9023,-8.309029261527778,-3.201949248194445
mp-639512,SiO2,5.6882,-8.364695036231883,-3.257615022898549
mp-557814,SiO2,1.4092,-7.6684887136111115,-2.561408700277778
mp-683952,SiO2,1.6131,-7.648278660694444,-2.541198647361111
mp-1021503,SiO2,4.528499999999999,-7.982775308333333,-2.875695295
mp-561301,SiO2,1.9958,-7.88097838173611,-2.773898368402777
mp-10064,SiO2,1.739599999999999,-7.101967823333333,-1.99488781
mp-559962,SiO2,5.677099999999999,-8.338132080555555,-3.231052067222221
mp-600023,SiO2,5.5462,-8.357057848333334,-3.249977835
mp-558931,SiO2,4.6434,-8.111374208958333,-3.004294195625
mp-12350,SiO2,6.220599999999999,-8.240247903333332,-3.133167889999999
mp-32895,SiO2,5.8382000000000005,-8.357991569027778,-3.250911555694444
mp-561090,SiO2,5.618399999999999,-8.359017527058823,-3.25193751372549
mp-8352,SiO2,5.3649000000000004,-8.359360156666666,-3.252280143333333
mp-556257,SiO2,3.6775,-7.960994865833332,-2.853914852499999
mp-600033,SiO2,5.6213,-8.365809549444444,-3.258729536111111
mp-639741,SiO2,5.7283,-8.357771150972221,-3.250691137638888
mp-600005,SiO2,5.4397,-8.35874932875,-3.251669315416666
mp-555791,SiO2,5.847799999999999,-8.333621435069444,-3.226541421736111
mp-556068,SiO2,6.3102,-8.239376824027778,-3.132296810694443
mp-1204026,SiO2,4.1957,-8.068679929305555,-2.961599915972222
mp-600028,SiO2,5.6883,-8.357594827361112,-3.250514814027779
mp-559829,SiO2,6.2211,-8.237597729861111,-3.130517716527777
mp-1256499,SiO2,5.9289000000000005,-8.317762527500001,-3.210682514166667
mp-558891,SiO2,5.6471,-8.366748050833333,-3.259668037500001
mp-683953,SiO2,1.7254,-7.49808265173611,-2.391002638402777
mp-557244,SiO2,5.1733,-8.197374143333333,-3.09029413
mp-639506,SiO2,5.7044999999999995,-8.361005150833334,-3.253925137500001
mp-639733,SiO2,5.6876999999999995,-8.355727586805557,-3.248647573472224
mp-556376,SiO2,2.7482,-7.950885765833333,-2.8438057525
mp-1258196,SiO2,5.6745,-8.367558802450981,-3.260478789117646
mp-553945,SiO2,5.6921,-8.362845122395834,-3.2557651090625
mp-554089,SiO2,5.660399999999999,-8.373153738333334,-3.266073725
mp-16964,SiO2,5.6779,-8.36778251,-3.2607024966666662
mp-557264,SiO2,5.6152000000000015,-8.368712060416666,-3.261632047083333
mp-556218,SiO2,5.5973,-8.367013575277777,-3.259933561944445
mp-561181,SiO2,5.6043,-8.358868186309524,-3.25178817297619
mp-600055,SiO2,5.6413,-8.360898762380954,-3.25381874904762
mp-555891,SiO2,5.3872,-8.366435931666667,-3.2593559183333323
mp-972808,SiO2,5.5882000000000005,-8.3722493275,-3.265169314166667
mp-554573,SiO2,5.6155,-8.37244514,-3.265365126666667
mp-600071,SiO2,5.5552,-8.358453554722225,-3.2513735413888902
mp-554946,SiO2,5.8629999999999995,-8.362846856111112,-3.255766842777778
mp-600091,SiO2,5.697,-8.361202886851853,-3.254122873518519
mp-555251,SiO2,5.6355,-8.3623990875,-3.255319074166665
mp-683970,SiO2,5.3597,-8.2433562503125,-3.136276236979166
mp-1205213,SiO2,5.3103,-8.302522295740742,-3.195442282407409
mp-555676,SiO2,4.5916,-8.125337189583332,-3.018257176249999
mp-556662,SiO2,5.565300000000001,-8.312055324166666,-3.204975310833333
mp-556553,SiO2,5.1327,-8.294209683333333,-3.187129669999999
mp-557134,SiO2,5.4646,-8.284868436666667,-3.1777884233333342
mp-673168,SiO2,3.3979,-7.693526335555556,-2.586446322222222
mp-558366,SiO2,1.382099999999999,-7.5882685004166675,-2.481188487083333
mp-600061,SiO2,5.7108,-8.35839642,-3.251316406666667
mp-600038,SiO2,5.8012999999999995,-8.343302655666665,-3.236222642333333
mp-600007,SiO2,5.680400000000001,-8.35897513111111,-3.251895117777777
mp-639463,SiO2,5.3927,-8.362231103333333,-3.255151089999999
mp-639695,SiO2,5.6186,-8.357328573333334,-3.25024856
mp-667373,SiO2,5.765000000000001,-8.36323009267857,-3.256150079345237
mp-600050,SiO2,5.9005,-8.309817909583334,-3.20273789625
mp-554397,SiO2,1.1882,-7.71665786375,-2.609577850416666
mp-556132,SiO2,4.5112,-8.183128031666666,-3.076048018333332
mp-557465,SiO2,5.6798,-8.366110517083333,-3.259030503749999
mp-667371,SiO2,5.8205,-8.362254853035713,-3.25517483970238
mp-600070,SiO2,5.8759999999999994,-8.356860974479167,-3.249780961145833
mp-558025,SiO2,5.897799999999999,-8.363453555925926,-3.256373542592593
mp-600026,SiO2,5.380199999999999,-8.325005829722222,-3.217925816388888
mp-985590,SiO2,5.7191,-8.3701902525,-3.263110239166666
mp-600022,SiO2,5.7440999999999995,-8.358141834166666,-3.251061820833333
mp-600053,SiO2,5.7235,-8.356999242619048,-3.249919229285715
mp-600083,SiO2,5.8262,-8.359612857611111,-3.252532844277778
mp-561351,SiO2,5.5568,-8.361971072222222,-3.254891058888888
mp-557653,SiO2,4.1137999999999995,-8.077271202499999,-2.970191189166666
mp-10948,SiO2,5.2394,-8.120072246666666,-3.012992233333333
mp-639748,SiO2,5.8721,-8.342647838796298,-3.235567825462964
